timestamp,pub_timestamp,param5,param6,param1,param2,param3,param4,param7,command,source_component,publisher_id,target_system,target_component,source_system,confirmation,from_external
1771685725392000,0,nan,nan,1.0,4.0,3.0,nan,nan,176,190,0,1,1,245,0,1
1771685725396000,0,nan,nan,1.0,nan,nan,nan,nan,400,190,0,1,1,245,0,1
1771685725416000,0,nan,nan,1.0,4.0,4.0,nan,nan,176,190,0,1,1,245,0,1
1771685784556000,1771685784556000,0.0,0.0,1.0,1.0,-1.0,-1.0,0.0,1001,1,96,1,0,1,0,0
1771685784556000,1771685784556000,2.0,0.0,nan,nan,nan,nan,0.0,1000,1,96,1,0,1,0,0
1771685784556000,1771685784556000,0.0,0.0,-3.0,-3.0,-1.0,-1.0,0.0,1001,1,96,1,0,1,0,0
1771685803124000,0,nan,nan,129.0,4.0,5.0,nan,nan,176,190,0,1,1,245,0,1
1771685803144000,1771685803144000,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,2003,1,96,1,0,1,0,0
1771685803144000,1771685803144000,2.0,0.0,nan,nan,nan,nan,0.0,1000,1,96,1,0,1,0,0
1771685803144000,1771685803144000,0.0,0.0,-3.0,-3.0,-1.0,-1.0,0.0,1001,1,96,1,0,1,0,0
1771685803144000,1771685803144000,0.0,0.0,1.0,1.0,-1.0,-1.0,0.0,1001,1,96,1,0,1,0,0
1771685803144000,1771685803144000,2.0,0.0,nan,nan,nan,nan,0.0,1000,1,96,1,0,1,0,0
1771685803144000,1771685803144000,0.0,0.0,-3.0,-3.0,-1.0,-1.0,0.0,1001,1,96,1,0,1,0,0
1771685881124000,1771685881124000,0.0,0.0,0.0,2.0,80.0,nan,488.0012,0,1,96,1,0,1,0,0
