timestamp,pub_timestamp,param5,param6,param1,param2,param3,param4,param7,command,source_component,publisher_id,target_system,target_component,source_system,confirmation,from_external
1771685326400000,0,nan,nan,1.0,4.0,3.0,nan,nan,176,190,0,1,1,245,0,1
1771685326404000,0,nan,nan,1.0,nan,nan,nan,nan,400,190,0,1,1,245,0,1
1771685326412000,0,nan,nan,1.0,4.0,4.0,nan,nan,176,190,0,1,1,245,0,1
1771685401524000,1771685401524000,0.0,0.0,1.0,1.0,-1.0,-1.0,0.0,1001,1,96,1,0,1,0,0
1771685401524000,1771685401524000,2.0,0.0,nan,nan,nan,nan,0.0,1000,1,96,1,0,1,0,0
1771685401524000,1771685401524000,0.0,0.0,-3.0,-3.0,-1.0,-1.0,0.0,1001,1,96,1,0,1,0,0
1771685437536000,0,nan,nan,129.0,4.0,5.0,nan,nan,176,190,0,1,1,245,0,1
1771685437552000,1771685437552000,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,2003,1,96,1,0,1,0,0
1771685437552000,1771685437552000,2.0,0.0,nan,nan,nan,nan,0.0,1000,1,96,1,0,1,0,0
1771685437552000,1771685437552000,0.0,0.0,-3.0,-3.0,-1.0,-1.0,0.0,1001,1,96,1,0,1,0,0
1771685437552000,1771685437552000,0.0,0.0,1.0,1.0,-1.0,-1.0,0.0,1001,1,96,1,0,1,0,0
1771685437552000,1771685437552000,2.0,0.0,nan,nan,nan,nan,0.0,1000,1,96,1,0,1,0,0
1771685437552000,1771685437552000,0.0,0.0,-3.0,-3.0,-1.0,-1.0,0.0,1001,1,96,1,0,1,0,0
1771685517500000,1771685517500000,0.0,0.0,0.0,2.0,80.0,nan,488.0012,0,1,96,1,0,1,0,0
